AAA	none	8086,NOLONG	AAA 	ASCII Adjust After Addition	AAA.html
VFMSUBADDPS	ymmreg,ymmreg*,ymmreg,ymmrm256	AMD,SSE5	VFMSUBADDPS ymm, ymm, ymm, ymm/m256	TODO: AMD,SSE5	
VFMSUBPD	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VFMSUBPD xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VFMSUBPD	ymmreg,ymmreg*,ymmrm256,ymmreg	AMD,SSE5	VFMSUBPD ymm, ymm, ymm/m256, ymm	TODO: AMD,SSE5	
VFMSUBPD	xmmreg,xmmreg*,xmmreg,xmmrm128	AMD,SSE5	VFMSUBPD xmm, xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VFMSUBPD	ymmreg,ymmreg*,ymmreg,ymmrm256	AMD,SSE5	VFMSUBPD ymm, ymm, ymm, ymm/m256	TODO: AMD,SSE5	
VFMSUBPS	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VFMSUBPS xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VFMSUBPS	ymmreg,ymmreg*,ymmrm256,ymmreg	AMD,SSE5	VFMSUBPS ymm, ymm, ymm/m256, ymm	TODO: AMD,SSE5	
VFMSUBPS	xmmreg,xmmreg*,xmmreg,xmmrm128	AMD,SSE5	VFMSUBPS xmm, xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VFMSUBPS	ymmreg,ymmreg*,ymmreg,ymmrm256	AMD,SSE5	VFMSUBPS ymm, ymm, ymm, ymm/m256	TODO: AMD,SSE5	
VFMSUBSD	xmmreg,xmmreg*,xmmrm64,xmmreg	AMD,SSE5	VFMSUBSD xmm, xmm, xmm/m64, xmm	TODO: AMD,SSE5	
VFMSUBSD	xmmreg,xmmreg*,xmmreg,xmmrm64	AMD,SSE5	VFMSUBSD xmm, xmm, xmm, xmm/m64	TODO: AMD,SSE5	
VFMSUBSS	xmmreg,xmmreg*,xmmrm32,xmmreg	AMD,SSE5	VFMSUBSS xmm, xmm, xmm/m32, xmm	TODO: AMD,SSE5	
VFMSUBSS	xmmreg,xmmreg*,xmmreg,xmmrm32	AMD,SSE5	VFMSUBSS xmm, xmm, xmm, xmm/m32	TODO: AMD,SSE5	
VFNMADDPD	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VFNMADDPD xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VFNMADDPD	ymmreg,ymmreg*,ymmrm256,ymmreg	AMD,SSE5	VFNMADDPD ymm, ymm, ymm/m256, ymm	TODO: AMD,SSE5	
VFNMADDPD	xmmreg,xmmreg*,xmmreg,xmmrm128	AMD,SSE5	VFNMADDPD xmm, xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VFNMADDPD	ymmreg,ymmreg*,ymmreg,ymmrm256	AMD,SSE5	VFNMADDPD ymm, ymm, ymm, ymm/m256	TODO: AMD,SSE5	
VFNMADDPS	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VFNMADDPS xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VFNMADDPS	ymmreg,ymmreg*,ymmrm256,ymmreg	AMD,SSE5	VFNMADDPS ymm, ymm, ymm/m256, ymm	TODO: AMD,SSE5	
VFNMADDPS	xmmreg,xmmreg*,xmmreg,xmmrm128	AMD,SSE5	VFNMADDPS xmm, xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VFNMADDPS	ymmreg,ymmreg*,ymmreg,ymmrm256	AMD,SSE5	VFNMADDPS ymm, ymm, ymm, ymm/m256	TODO: AMD,SSE5	
VFNMADDSD	xmmreg,xmmreg*,xmmrm64,xmmreg	AMD,SSE5	VFNMADDSD xmm, xmm, xmm/m64, xmm	TODO: AMD,SSE5	
VFNMADDSD	xmmreg,xmmreg*,xmmreg,xmmrm64	AMD,SSE5	VFNMADDSD xmm, xmm, xmm, xmm/m64	TODO: AMD,SSE5	
VFNMADDSS	xmmreg,xmmreg*,xmmrm32,xmmreg	AMD,SSE5	VFNMADDSS xmm, xmm, xmm/m32, xmm	TODO: AMD,SSE5	
VFNMADDSS	xmmreg,xmmreg*,xmmreg,xmmrm32	AMD,SSE5	VFNMADDSS xmm, xmm, xmm, xmm/m32	TODO: AMD,SSE5	
VFNMSUBPD	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VFNMSUBPD xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VFNMSUBPD	ymmreg,ymmreg*,ymmrm256,ymmreg	AMD,SSE5	VFNMSUBPD ymm, ymm, ymm/m256, ymm	TODO: AMD,SSE5	
VFNMSUBPD	xmmreg,xmmreg*,xmmreg,xmmrm128	AMD,SSE5	VFNMSUBPD xmm, xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VFNMSUBPD	ymmreg,ymmreg*,ymmreg,ymmrm256	AMD,SSE5	VFNMSUBPD ymm, ymm, ymm, ymm/m256	TODO: AMD,SSE5	
VFNMSUBPS	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VFNMSUBPS xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VFNMSUBPS	ymmreg,ymmreg*,ymmrm256,ymmreg	AMD,SSE5	VFNMSUBPS ymm, ymm, ymm/m256, ymm	TODO: AMD,SSE5	
VFNMSUBPS	xmmreg,xmmreg*,xmmreg,xmmrm128	AMD,SSE5	VFNMSUBPS xmm, xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VFNMSUBPS	ymmreg,ymmreg*,ymmreg,ymmrm256	AMD,SSE5	VFNMSUBPS ymm, ymm, ymm, ymm/m256	TODO: AMD,SSE5	
VFNMSUBSD	xmmreg,xmmreg*,xmmrm64,xmmreg	AMD,SSE5	VFNMSUBSD xmm, xmm, xmm/m64, xmm	TODO: AMD,SSE5	
VFNMSUBSD	xmmreg,xmmreg*,xmmreg,xmmrm64	AMD,SSE5	VFNMSUBSD xmm, xmm, xmm, xmm/m64	TODO: AMD,SSE5	
VFNMSUBSS	xmmreg,xmmreg*,xmmrm32,xmmreg	AMD,SSE5	VFNMSUBSS xmm, xmm, xmm/m32, xmm	TODO: AMD,SSE5	
VFNMSUBSS	xmmreg,xmmreg*,xmmreg,xmmrm32	AMD,SSE5	VFNMSUBSS xmm, xmm, xmm, xmm/m32	TODO: AMD,SSE5	
VFRCZPD	xmmreg,xmmrm128*	AMD,SSE5	VFRCZPD xmm, xmm/m128	TODO: AMD,SSE5	
VFRCZPD	ymmreg,ymmrm256*	AMD,SSE5	VFRCZPD ymm, ymm/m256	TODO: AMD,SSE5	
VFRCZPS	xmmreg,xmmrm128*	AMD,SSE5	VFRCZPS xmm, xmm/m128	TODO: AMD,SSE5	
VFRCZPS	ymmreg,ymmrm256*	AMD,SSE5	VFRCZPS ymm, ymm/m256	TODO: AMD,SSE5	
VFRCZSD	xmmreg,xmmrm64*	AMD,SSE5	VFRCZSD xmm, xmm/m64	TODO: AMD,SSE5	
VFRCZSS	xmmreg,xmmrm32*	AMD,SSE5	VFRCZSS xmm, xmm/m32	TODO: AMD,SSE5	
VPCMOV	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPCMOV xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPCMOV	ymmreg,ymmreg*,ymmrm256,ymmreg	AMD,SSE5	VPCMOV ymm, ymm, ymm/m256, ymm	TODO: AMD,SSE5	
VPCMOV	xmmreg,xmmreg*,xmmreg,xmmrm128	AMD,SSE5	VPCMOV xmm, xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPCMOV	ymmreg,ymmreg*,ymmreg,ymmrm256	AMD,SSE5	VPCMOV ymm, ymm, ymm, ymm/m256	TODO: AMD,SSE5	
VPCOMB	xmmreg,xmmreg*,xmmrm128,imm8	AMD,SSE5	VPCOMB xmm, xmm, xmm/m128, imm8	TODO: AMD,SSE5	
VPCOMD	xmmreg,xmmreg*,xmmrm128,imm8	AMD,SSE5	VPCOMD xmm, xmm, xmm/m128, imm8	TODO: AMD,SSE5	
VPCOMQ	xmmreg,xmmreg*,xmmrm128,imm8	AMD,SSE5	VPCOMQ xmm, xmm, xmm/m128, imm8	TODO: AMD,SSE5	
VPCOMUB	xmmreg,xmmreg*,xmmrm128,imm8	AMD,SSE5	VPCOMUB xmm, xmm, xmm/m128, imm8	TODO: AMD,SSE5	
VPCOMUD	xmmreg,xmmreg*,xmmrm128,imm8	AMD,SSE5	VPCOMUD xmm, xmm, xmm/m128, imm8	TODO: AMD,SSE5	
VPCOMUQ	xmmreg,xmmreg*,xmmrm128,imm8	AMD,SSE5	VPCOMUQ xmm, xmm, xmm/m128, imm8	TODO: AMD,SSE5	
VPCOMUW	xmmreg,xmmreg*,xmmrm128,imm8	AMD,SSE5	VPCOMUW xmm, xmm, xmm/m128, imm8	TODO: AMD,SSE5	
VPCOMW	xmmreg,xmmreg*,xmmrm128,imm8	AMD,SSE5	VPCOMW xmm, xmm, xmm/m128, imm8	TODO: AMD,SSE5	
VPHADDBD	xmmreg,xmmrm128*	AMD,SSE5	VPHADDBD xmm, xmm/m128	TODO: AMD,SSE5	
VPHADDBQ	xmmreg,xmmrm128*	AMD,SSE5	VPHADDBQ xmm, xmm/m128	TODO: AMD,SSE5	
VPHADDBW	xmmreg,xmmrm128*	AMD,SSE5	VPHADDBW xmm, xmm/m128	TODO: AMD,SSE5	
VPHADDDQ	xmmreg,xmmrm128*	AMD,SSE5	VPHADDDQ xmm, xmm/m128	TODO: AMD,SSE5	
VPHADDUBD	xmmreg,xmmrm128*	AMD,SSE5	VPHADDUBD xmm, xmm/m128	TODO: AMD,SSE5	
VPHADDUBQ	xmmreg,xmmrm128*	AMD,SSE5	VPHADDUBQ xmm, xmm/m128	TODO: AMD,SSE5	
VPHADDUBW	xmmreg,xmmrm128*	AMD,SSE5	VPHADDUBW xmm, xmm/m128	TODO: AMD,SSE5	
VPHADDUDQ	xmmreg,xmmrm128*	AMD,SSE5	VPHADDUDQ xmm, xmm/m128	TODO: AMD,SSE5	
VPHADDUWD	xmmreg,xmmrm128*	AMD,SSE5	VPHADDUWD xmm, xmm/m128	TODO: AMD,SSE5	
VPHADDUWQ	xmmreg,xmmrm128*	AMD,SSE5	VPHADDUWQ xmm, xmm/m128	TODO: AMD,SSE5	
VPHADDWD	xmmreg,xmmrm128*	AMD,SSE5	VPHADDWD xmm, xmm/m128	TODO: AMD,SSE5	
VPHADDWQ	xmmreg,xmmrm128*	AMD,SSE5	VPHADDWQ xmm, xmm/m128	TODO: AMD,SSE5	
VPHSUBBW	xmmreg,xmmrm128*	AMD,SSE5	VPHSUBBW xmm, xmm/m128	TODO: AMD,SSE5	
VPHSUBDQ	xmmreg,xmmrm128*	AMD,SSE5	VPHSUBDQ xmm, xmm/m128	TODO: AMD,SSE5	
VPHSUBWD	xmmreg,xmmrm128*	AMD,SSE5	VPHSUBWD xmm, xmm/m128	TODO: AMD,SSE5	
VPMACSDD	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPMACSDD xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPMACSDQH	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPMACSDQH xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPMACSDQL	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPMACSDQL xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPMACSSDD	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPMACSSDD xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPMACSSDQH	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPMACSSDQH xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPMACSSDQL	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPMACSSDQL xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPMACSSWD	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPMACSSWD xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPMACSSWW	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPMACSSWW xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPMACSWD	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPMACSWD xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPMACSWW	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPMACSWW xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPMADCSSWD	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPMADCSSWD xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPMADCSWD	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPMADCSWD xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPPERM	xmmreg,xmmreg*,xmmreg,xmmrm128	AMD,SSE5	VPPERM xmm, xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPPERM	xmmreg,xmmreg*,xmmrm128,xmmreg	AMD,SSE5	VPPERM xmm, xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPROTB	xmmreg,xmmrm128*,xmmreg	AMD,SSE5	VPROTB xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPROTB	xmmreg,xmmreg*,xmmrm128	AMD,SSE5	VPROTB xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPROTB	xmmreg,xmmrm128*,imm8	AMD,SSE5	VPROTB xmm, xmm/m128, imm8	TODO: AMD,SSE5	
VPROTD	xmmreg,xmmrm128*,xmmreg	AMD,SSE5	VPROTD xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPROTD	xmmreg,xmmreg*,xmmrm128	AMD,SSE5	VPROTD xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPROTD	xmmreg,xmmrm128*,imm8	AMD,SSE5	VPROTD xmm, xmm/m128, imm8	TODO: AMD,SSE5	
VPROTQ	xmmreg,xmmrm128*,xmmreg	AMD,SSE5	VPROTQ xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPROTQ	xmmreg,xmmreg*,xmmrm128	AMD,SSE5	VPROTQ xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPROTQ	xmmreg,xmmrm128*,imm8	AMD,SSE5	VPROTQ xmm, xmm/m128, imm8	TODO: AMD,SSE5	
VPROTW	xmmreg,xmmrm128*,xmmreg	AMD,SSE5	VPROTW xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPROTW	xmmreg,xmmreg*,xmmrm128	AMD,SSE5	VPROTW xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPROTW	xmmreg,xmmrm128*,imm8	AMD,SSE5	VPROTW xmm, xmm/m128, imm8	TODO: AMD,SSE5	
VPSHAB	xmmreg,xmmrm128*,xmmreg	AMD,SSE5	VPSHAB xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPSHAB	xmmreg,xmmreg*,xmmrm128	AMD,SSE5	VPSHAB xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPSHAD	xmmreg,xmmrm128*,xmmreg	AMD,SSE5	VPSHAD xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPSHAD	xmmreg,xmmreg*,xmmrm128	AMD,SSE5	VPSHAD xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPSHAQ	xmmreg,xmmrm128*,xmmreg	AMD,SSE5	VPSHAQ xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPSHAQ	xmmreg,xmmreg*,xmmrm128	AMD,SSE5	VPSHAQ xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPSHAW	xmmreg,xmmrm128*,xmmreg	AMD,SSE5	VPSHAW xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPSHAW	xmmreg,xmmreg*,xmmrm128	AMD,SSE5	VPSHAW xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPSHLB	xmmreg,xmmrm128*,xmmreg	AMD,SSE5	VPSHLB xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPSHLB	xmmreg,xmmreg*,xmmrm128	AMD,SSE5	VPSHLB xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPSHLD	xmmreg,xmmrm128*,xmmreg	AMD,SSE5	VPSHLD xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPSHLD	xmmreg,xmmreg*,xmmrm128	AMD,SSE5	VPSHLD xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPSHLQ	xmmreg,xmmrm128*,xmmreg	AMD,SSE5	VPSHLQ xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPSHLQ	xmmreg,xmmreg*,xmmrm128	AMD,SSE5	VPSHLQ xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VPSHLW	xmmreg,xmmrm128*,xmmreg	AMD,SSE5	VPSHLW xmm, xmm/m128, xmm	TODO: AMD,SSE5	
VPSHLW	xmmreg,xmmreg*,xmmrm128	AMD,SSE5	VPSHLW xmm, xmm, xmm/m128	TODO: AMD,SSE5	
VBROADCASTI128	ymmreg,mem128	FUTURE,AVX2	VBROADCASTI128 ymm, mem128	Copy a 128-bit memory operand to all elements of a YMM vector Register	VPBROADCAST.html
VPBLENDD	xmmreg,xmmreg*,xmmrm128,imm8	FUTURE,AVX2	VPBLENDD xmm, xmm, xmm/m128, imm8	Blend Packed Dwords	VPBLENDD.html
VPBLENDD	ymmreg,ymmreg*,ymmrm256,imm8	FUTURE,AVX2	VPBLENDD ymm, ymm, ymm/m256, imm8	Blend Packed Dwords	VPBLENDD.html
VPBROADCASTB	xmmreg,mem8	FUTURE,AVX2	VPBROADCASTB xmm, mem8	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	xmmreg,xmmreg	FUTURE,AVX2	VPBROADCASTB xmm, xmm	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	ymmreg,mem8	FUTURE,AVX2	VPBROADCASTB ymm, mem8	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	ymmreg,xmmreg	FUTURE,AVX2	VPBROADCASTB ymm, xmm	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	xmmreg|mask|z,xmmrm8	AVX512VL,AVX512BW,FUTURE	VPBROADCASTB xmm|mask|z, xmm/m8	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	ymmreg|mask|z,xmmrm8	AVX512VL,AVX512BW,FUTURE	VPBROADCASTB ymm|mask|z, xmm/m8	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	zmmreg|mask|z,xmmrm8	AVX512BW,FUTURE	VPBROADCASTB zmm|mask|z, xmm/m8	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	xmmreg|mask|z,reg8	AVX512VL,AVX512BW,FUTURE	VPBROADCASTB xmm|mask|z, r8	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	xmmreg|mask|z,reg16	AVX512VL,AVX512BW,FUTURE	VPBROADCASTB xmm|mask|z, r16	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	xmmreg|mask|z,reg32	AVX512VL,AVX512BW,FUTURE	VPBROADCASTB xmm|mask|z, r32	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	xmmreg|mask|z,reg64	AVX512VL,AVX512BW,FUTURE	VPBROADCASTB xmm|mask|z, r64	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	ymmreg|mask|z,reg8	AVX512VL,AVX512BW,FUTURE	VPBROADCASTB ymm|mask|z, r8	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	ymmreg|mask|z,reg16	AVX512VL,AVX512BW,FUTURE	VPBROADCASTB ymm|mask|z, r16	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	ymmreg|mask|z,reg32	AVX512VL,AVX512BW,FUTURE	VPBROADCASTB ymm|mask|z, r32	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	ymmreg|mask|z,reg64	AVX512VL,AVX512BW,FUTURE	VPBROADCASTB ymm|mask|z, r64	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	zmmreg|mask|z,reg8	AVX512BW,FUTURE	VPBROADCASTB zmm|mask|z, r8	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	zmmreg|mask|z,reg16	AVX512BW,FUTURE	VPBROADCASTB zmm|mask|z, r16	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	zmmreg|mask|z,reg32	AVX512BW,FUTURE	VPBROADCASTB zmm|mask|z, r32	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTB	zmmreg|mask|z,reg64	AVX512BW,FUTURE	VPBROADCASTB zmm|mask|z, r64	Copy an 8-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	xmmreg,mem16	FUTURE,AVX2	VPBROADCASTW xmm, mem16	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	xmmreg,xmmreg	FUTURE,AVX2	VPBROADCASTW xmm, xmm	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	ymmreg,mem16	FUTURE,AVX2	VPBROADCASTW ymm, mem16	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	ymmreg,xmmreg	FUTURE,AVX2	VPBROADCASTW ymm, xmm	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	xmmreg|mask|z,xmmrm16	AVX512VL,AVX512BW,FUTURE	VPBROADCASTW xmm|mask|z, xmm/m16	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	ymmreg|mask|z,xmmrm16	AVX512VL,AVX512BW,FUTURE	VPBROADCASTW ymm|mask|z, xmm/m16	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	zmmreg|mask|z,xmmrm16	AVX512BW,FUTURE	VPBROADCASTW zmm|mask|z, xmm/m16	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	xmmreg|mask|z,reg16	AVX512VL,AVX512BW,FUTURE	VPBROADCASTW xmm|mask|z, r16	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	xmmreg|mask|z,reg32	AVX512VL,AVX512BW,FUTURE	VPBROADCASTW xmm|mask|z, r32	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	xmmreg|mask|z,reg64	AVX512VL,AVX512BW,FUTURE	VPBROADCASTW xmm|mask|z, r64	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	ymmreg|mask|z,reg16	AVX512VL,AVX512BW,FUTURE	VPBROADCASTW ymm|mask|z, r16	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	ymmreg|mask|z,reg32	AVX512VL,AVX512BW,FUTURE	VPBROADCASTW ymm|mask|z, r32	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	ymmreg|mask|z,reg64	AVX512VL,AVX512BW,FUTURE	VPBROADCASTW ymm|mask|z, r64	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	zmmreg|mask|z,reg16	AVX512BW,FUTURE	VPBROADCASTW zmm|mask|z, r16	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	zmmreg|mask|z,reg32	AVX512BW,FUTURE	VPBROADCASTW zmm|mask|z, r32	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTW	zmmreg|mask|z,reg64	AVX512BW,FUTURE	VPBROADCASTW zmm|mask|z, r64	Copy an 16-bit integer register or memory operand to all elements of a XMM or YMM vector Register	VPBROADCAST.html
VPBROADCASTD	xmmreg,mem32	FUTURE,AVX2	VPBROADCASTD xmm, mem32	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTD	xmmreg,xmmreg	FUTURE,AVX2	VPBROADCASTD xmm, xmm	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTD	ymmreg,mem32	FUTURE,AVX2	VPBROADCASTD ymm, mem32	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTD	ymmreg,xmmreg	FUTURE,AVX2	VPBROADCASTD ymm, xmm	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTD	xmmreg|mask|z,mem32	AVX512VL,AVX512,FUTURE	VPBROADCASTD xmm|mask|z, mem32	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTD	ymmreg|mask|z,mem32	AVX512VL,AVX512,FUTURE	VPBROADCASTD ymm|mask|z, mem32	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTD	zmmreg|mask|z,mem32	AVX512,FUTURE	VPBROADCASTD zmm|mask|z, mem32	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTD	xmmreg|mask|z,xmmreg	AVX512VL,AVX512,FUTURE	VPBROADCASTD xmm|mask|z, xmm	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTD	ymmreg|mask|z,xmmreg	AVX512VL,AVX512,FUTURE	VPBROADCASTD ymm|mask|z, xmm	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTD	zmmreg|mask|z,xmmreg	AVX512,FUTURE	VPBROADCASTD zmm|mask|z, xmm	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTD	xmmreg|mask|z,reg32	AVX512VL,AVX512,FUTURE	VPBROADCASTD xmm|mask|z, r32	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTD	ymmreg|mask|z,reg32	AVX512VL,AVX512,FUTURE	VPBROADCASTD ymm|mask|z, r32	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTD	zmmreg|mask|z,reg32	AVX512,FUTURE	VPBROADCASTD zmm|mask|z, r32	Broadcast Int32 Vector	VPBROADCAST.html
VPBROADCASTQ	xmmreg,mem64	FUTURE,AVX2	VPBROADCASTQ xmm, mem64	Broadcast Int64 Vector	VPBROADCAST.html
VPBROADCASTQ	xmmreg,xmmreg	FUTURE,AVX2	VPBROADCASTQ xmm, xmm	Broadcast Int64 Vector	VPBROADCAST.html
